belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,name_director,release_year,return
Toy Story Collection,30000000,"Animation, Comedy, Family",862,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,Pixar Animation Studios,United States of America,1995-10-30,373554033.0,81.0,English,Released,,Toy Story,7.7,5415.0,"Tom Hanks, Tim Allen, Don Rickles",John Lasseter,1995,12.4518011
,65000000,"Adventure, Fantasy, Family",8844,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,"TriStar Pictures, Teitler Film, Interscope Communications",United States of America,1995-12-15,262797249.0,104.0,"English, Français",Released,Roll the dice and unleash the excitement!,Jumanji,6.9,2413.0,"Robin Williams, Jonathan Hyde, Kirsten Dunst",Joe Johnston,1995,4.0430346
Grumpy Old Men Collection,0,"Romance, Comedy",15602,en,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,"Warner Bros., Lancaster Gate",United States of America,1995-12-22,0.0,101.0,English,Released,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,6.5,92.0,"Walter Matthau, Jack Lemmon, Ann-Margret",Howard Deutch,1995,0.0
,16000000,"Comedy, Drama, Romance",31357,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,Twentieth Century Fox Film Corporation,United States of America,1995-12-22,81452156.0,127.0,English,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,6.1,34.0,"Whitney Houston, Angela Bassett, Loretta Devine",Forest Whitaker,1995,5.09075975
Father of the Bride Collection,0,Comedy,11862,en,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,"Sandollar Productions, Touchstone Pictures",United States of America,1995-02-10,76578911.0,106.0,English,Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,5.7,173.0,"Steve Martin, Diane Keaton, Martin Short",Charles Shyer,1995,0.0
,60000000,"Action, Crime, Drama, Thriller",949,en,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,"Regency Enterprises, Forward Pass, Warner Bros.",United States of America,1995-12-15,187436818.0,170.0,"English, Español",Released,A Los Angeles Crime Saga,Heat,7.7,1886.0,"Al Pacino, Robert De Niro, Val Kilmer",Michael Mann,1995,3.123946966666667
,58000000,"Comedy, Romance",11860,en,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,"Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH","Germany, United States of America",1995-12-15,0.0,127.0,"Français, English",Released,You are cordially invited to the most surprising merger of the year.,Sabrina,6.2,141.0,"Harrison Ford, Julia Ormond, Greg Kinnear",Sydney Pollack,1995,0.0
,0,"Action, Adventure, Drama, Family",45325,en,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,Walt Disney Pictures,United States of America,1995-12-22,0.0,97.0,"English, Deutsch",Released,The Original Bad Boys.,Tom and Huck,5.4,45.0,"Jonathan Taylor Thomas, Brad Renfro, Rachael Leigh Cook",Peter Hewitt,1995,0.0
,35000000,"Action, Adventure, Thriller",9091,en,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,"Universal Pictures, Imperial Entertainment, Signature Entertainment",United States of America,1995-12-22,64350171.0,106.0,English,Released,Terror goes into overtime.,Sudden Death,5.5,174.0,"Jean-Claude Van Damme, Powers Boothe, Dorian Harewood",Peter Hyams,1995,1.8385763142857143
James Bond Collection,58000000,"Adventure, Action, Thriller",710,en,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,"United Artists, Eon Productions","United Kingdom, United States of America",1995-11-16,352194034.0,130.0,"English, Pусский, Español",Released,No limits. No fears. No substitutes.,GoldenEye,6.6,1194.0,"Pierce Brosnan, Sean Bean, Izabella Scorupco",Martin Campbell,1995,6.072310931034483
